SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Tue Feb 05 14:56:53 EET 2019
User: demo
Dark Spectrum Present: Yes
Reference Spectrum Present: Yes
Number of Sampled Component Spectra: 1
Spectrometers: USB4H03366
Integration Time (usec): 20000000 (USB4H03366)
Spectra Averaged: 1 (USB4H03366)
Boxcar Smoothing: 0 (USB4H03366)
Correct for Electrical Dark: No (USB4H03366)
Strobe/Lamp Enabled: No (USB4H03366)
Correct for Detector Non-linearity: No (USB4H03366)
Correct for Stray Light: No (USB4H03366)
Number of Pixels in Processed Spectrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
291.48	22.53
291.93	22.53
292.37	22.53
292.82	-6.14
293.26	-86.01
293.70	-4.10
294.15	-14.34
294.59	-24.58
295.04	61.44
295.48	286.72
295.93	-155.65
296.37	-83.97
296.82	43.01
297.26	22.53
297.71	147.45
298.15	8.19
298.59	149.50
299.04	131.07
299.48	-30.72
299.93	20.48
300.37	32.77
300.82	141.31
301.26	0.00
301.70	28.67
302.15	-45.06
302.59	36.86
303.04	-49.15
303.48	53.25
303.92	-10.24
304.37	67.58
304.81	43.01
305.26	663.54
305.70	227.32
306.14	57.34
306.59	-30.72
307.03	98.30
307.47	153.60
307.92	133.12
308.36	174.08
308.81	-77.82
309.25	231.42
309.69	358.39
310.14	319.48
310.58	0.00
311.02	83.97
311.47	12.29
311.91	-210.94
312.36	-116.73
312.80	-77.82
313.24	65.53
313.69	-36.86
314.13	-67.58
314.57	45.06
315.02	-20.48
315.46	10.24
315.90	-116.73
316.35	-223.23
316.79	-12.29
317.23	163.84
317.68	61.44
318.12	110.59
318.56	-34.82
319.00	-8.19
319.45	92.16
319.89	-49.15
320.33	47.10
320.78	229.37
321.22	83.97
321.66	-12.29
322.11	178.17
322.55	217.08
322.99	-108.54
323.43	159.74
323.88	124.93
324.32	-30.72
324.76	258.04
325.21	86.01
325.65	24.58
326.09	118.78
326.53	73.73
326.98	47.10
327.42	167.93
